Run,Mem_MiB,T_cost,Lanes,HashRate_Hs
1,64,1,1,4985
2,64,1,1,4984
3,64,1,1,4986
4,64,1,1,4988
5,64,1,1,4985
6,64,1,1,4983
7,64,1,1,4985
8,64,1,1,4986
9,64,1,1,4985
10,64,1,1,4987
11,64,1,1,4990
12,64,1,1,4986
13,64,1,1,4987
14,64,1,1,4985
15,64,1,1,4986
16,64,1,1,4988
17,64,1,1,4987
18,64,1,1,4984
19,64,1,1,4985
20,64,1,1,4987
21,64,1,1,4989
22,64,1,1,4990
23,64,1,1,4985
24,64,1,1,4985
25,64,1,1,4985
26,64,1,1,4984
27,64,1,1,4985
28,64,1,1,4985
29,64,1,1,4986
30,64,1,1,4985
31,64,1,1,4984
32,64,1,1,4985
33,64,1,1,4987
34,64,1,1,4987
35,64,1,1,4987
36,64,1,1,4987
37,64,1,1,4983
38,64,1,1,4988
39,64,1,1,4985
40,64,1,1,4987
41,64,1,1,4986
42,64,1,1,4986
43,64,1,1,4984
44,64,1,1,4988
45,64,1,1,4984
46,64,1,1,4985
47,64,1,1,4987
48,64,1,1,4986
49,64,1,1,4987
50,64,1,1,4984
51,64,1,1,4988
52,64,1,1,4985
53,64,1,1,4986
54,64,1,1,4987
55,64,1,1,4989
56,64,1,1,4987
57,64,1,1,4985
58,64,1,1,4985
59,64,1,1,4988
60,64,1,1,4984
61,64,1,1,4986
62,64,1,1,4987
63,64,1,1,4984
64,64,1,1,4986
65,64,1,1,4984
66,64,1,1,4987
67,64,1,1,4986
68,64,1,1,4988
69,64,1,1,4984
70,64,1,1,4986
71,64,1,1,4988
72,64,1,1,4987
73,64,1,1,4986
74,64,1,1,4987
75,64,1,1,4985
76,64,1,1,4985
77,64,1,1,4984
78,64,1,1,4986
79,64,1,1,4984
80,64,1,1,4985
81,64,1,1,4986
82,64,1,1,4985
83,64,1,1,4985
84,64,1,1,4984
85,64,1,1,4986
86,64,1,1,4986
87,64,1,1,4984
88,64,1,1,4983
89,64,1,1,4984
90,64,1,1,4984
91,64,1,1,4984
92,64,1,1,4983
93,64,1,1,4985
94,64,1,1,4983
95,64,1,1,4985
96,64,1,1,4984
97,64,1,1,4985
98,64,1,1,4986
99,64,1,1,4986
100,64,1,1,4990
