Run,Mem_MiB,T_cost,Lanes,HashRate_Hs
1,128,1,1,2338
2,128,1,1,2339
3,128,1,1,2339
4,128,1,1,2339
5,128,1,1,2340
6,128,1,1,2338
7,128,1,1,2338
8,128,1,1,2339
9,128,1,1,2338
10,128,1,1,2340
11,128,1,1,2338
12,128,1,1,2338
13,128,1,1,2338
14,128,1,1,2338
15,128,1,1,2339
16,128,1,1,2338
17,128,1,1,2339
18,128,1,1,2338
19,128,1,1,2340
20,128,1,1,2339
21,128,1,1,2339
22,128,1,1,2339
23,128,1,1,2339
24,128,1,1,2339
25,128,1,1,2339
26,128,1,1,2338
27,128,1,1,2339
28,128,1,1,2339
29,128,1,1,2339
30,128,1,1,2339
31,128,1,1,2340
32,128,1,1,2341
33,128,1,1,2340
34,128,1,1,2339
35,128,1,1,2339
36,128,1,1,2339
37,128,1,1,2338
38,128,1,1,2341
39,128,1,1,2340
40,128,1,1,2339
41,128,1,1,2341
42,128,1,1,2340
43,128,1,1,2340
44,128,1,1,2339
45,128,1,1,2339
46,128,1,1,2339
47,128,1,1,2339
48,128,1,1,2339
49,128,1,1,2340
50,128,1,1,2341
51,128,1,1,2340
52,128,1,1,2340
53,128,1,1,2341
54,128,1,1,2339
55,128,1,1,2341
56,128,1,1,2340
57,128,1,1,2339
58,128,1,1,2339
59,128,1,1,2339
60,128,1,1,2340
61,128,1,1,2339
62,128,1,1,2339
63,128,1,1,2339
64,128,1,1,2339
65,128,1,1,2338
66,128,1,1,2338
67,128,1,1,2340
68,128,1,1,2339
69,128,1,1,2338
70,128,1,1,2340
71,128,1,1,2339
72,128,1,1,2339
73,128,1,1,2340
74,128,1,1,2340
75,128,1,1,2340
76,128,1,1,2340
77,128,1,1,2339
78,128,1,1,2341
79,128,1,1,2339
80,128,1,1,2340
81,128,1,1,2341
82,128,1,1,2340
83,128,1,1,2340
84,128,1,1,2339
85,128,1,1,2339
86,128,1,1,2339
87,128,1,1,2337
88,128,1,1,2339
89,128,1,1,2338
90,128,1,1,2339
91,128,1,1,2340
92,128,1,1,2340
93,128,1,1,2339
94,128,1,1,2340
95,128,1,1,2339
96,128,1,1,2338
97,128,1,1,2338
98,128,1,1,2338
99,128,1,1,2339
100,128,1,1,2340
