Run,Time_ms
1,1252.096383000
2,1243.566218000
3,1256.357655000
4,1254.017706000
5,1265.293302000
6,1325.371484000
7,1259.362631000
8,1273.214963000
9,1325.742503000
10,1239.780213000
11,1228.667154000
12,1238.428945000
13,1247.608721000
14,1239.371315000
15,1230.446471000
16,1224.668721000
17,1252.796115000
18,1225.596615000
19,1223.873726000
20,1290.696872000
21,1227.128839000
22,1251.673206000
23,1255.630549000
24,1252.447503000
25,1260.047785000
26,1299.875516000
27,1268.727460000
28,1265.927140000
29,1273.459980000
30,1280.903189000
31,1278.045542000
32,1298.501903000
33,1275.171011000
34,1261.741145000
35,1256.935977000
36,1252.330247000
37,1259.247535000
38,1246.579516000
39,1279.601417000
40,1256.516555000
41,1271.075231000
42,1301.731827000
43,1273.235246000
44,1296.477849000
45,1253.121801000
46,1202.259190000
47,1245.000473000
48,1201.362421000
49,1219.874810000
50,1247.928429000
51,1220.101077000
52,1213.874617000
53,1209.720100000
54,1213.430673000
55,1245.969186000
56,1213.933842000
57,1213.497432000
58,1223.434794000
59,1228.968412000
60,1209.313556000
61,1239.694157000
62,1224.108477000
63,1200.389910000
64,1220.286583000
65,1210.664311000
66,1233.248497000
67,1207.564992000
68,1204.942861000
69,1203.215681000
70,1240.258102000
71,1192.918414000
72,1204.736353000
73,1210.129055000
74,1216.219435000
75,1218.690125000
76,1192.286835000
77,1237.954249000
78,1197.512006000
79,1229.254002000
80,1198.347866000
81,1232.017707000
82,1210.283682000
83,1202.073944000
84,1235.125980000
85,1203.928688000
86,1205.564703000
87,1208.502245000
88,1239.247056000
89,1225.971297000
90,1220.173687000
91,1212.277199000
92,1197.188474000
93,1201.712734000
94,1211.536344000
95,1216.328755000
96,1229.462792000
97,1215.865884000
98,1216.514308000
99,1210.719115000
100,1219.621899000
101,1206.552959000
102,1218.438245000
103,1208.563055000
104,1213.433912000
105,1218.580775000
106,1225.512779000
107,1223.623467000
108,1222.611070000
109,1218.306744000
110,1218.496053000
111,1218.287780000
112,1209.742355000
113,1207.788913000
114,1211.961935000
115,1204.055486000
116,1208.305665000
117,1217.974283000
118,1217.246412000
119,1211.490817000
120,1222.214497000
121,1234.689819000
122,1215.878700000
123,1219.888787000
124,1237.567906000
125,1243.611222000
126,1269.350247000
127,1245.419254000
128,1246.132907000
129,1255.722600000
130,1244.963721000
131,1250.425873000
132,1250.932720000
133,1252.706355000
134,1233.992538000
135,1220.060004000
136,1231.614516000
137,1218.792414000
138,1217.778237000
139,1218.619813000
140,1224.505385000
141,1252.257181000
142,1213.333186000
143,1206.593013000
144,1207.984805000
145,1227.402415000
146,1220.109225000
147,1213.938303000
148,1218.297178000
149,1212.337221000
150,1207.389117000
151,1202.841014000
152,1198.171040000
153,1205.444924000
154,1202.094125000
155,1206.903375000
156,1215.388580000
157,1208.674713000
158,1202.361420000
159,1207.622785000
160,1196.107578000
161,1206.602995000
162,1207.565304000
163,1233.056382000
164,1202.561065000
165,1195.027963000
166,1194.335299000
167,1197.571091000
168,1190.923716000
169,1199.724652000
170,1199.961759000
171,1256.444435000
172,1201.478861000
173,1274.776978000
174,1199.942964000
175,1203.801567000
176,1194.468395000
177,1208.236235000
178,1200.327278000
179,1196.773699000
180,1192.686087000
181,1198.165169000
182,1192.567454000
183,1200.208578000
184,1195.635488000
185,1193.348106000
186,1194.419159000
187,1205.497086000
188,1194.303400000
189,1202.633040000
190,1198.611802000
191,1207.614442000
192,1182.750768000
193,1198.288387000
194,1197.343453000
195,1191.572208000
196,1193.758127000
197,1212.538299000
198,1213.201859000
199,1197.867739000
200,1199.463803000
