Run,Mem_MiB,T_cost,Lanes,HashRate_Hs
1,4096,1,1,3.2083
2,4096,1,1,3.2083
3,4096,1,1,3.2083
4,4096,1,1,3.2083
5,4096,1,1,3.2083
6,4096,1,1,3.2083
7,4096,1,1,3.3000
8,4096,1,1,3.2083
9,4096,1,1,3.2083
10,4096,1,1,3.2083
11,4096,1,1,3.3000
12,4096,1,1,3.2083
13,4096,1,1,3.3000
14,4096,1,1,3.2083
15,4096,1,1,3.3000
16,4096,1,1,3.2083
17,4096,1,1,3.3000
18,4096,1,1,3.2083
19,4096,1,1,3.2083
20,4096,1,1,3.2083
21,4096,1,1,3.3000
22,4096,1,1,3.2083
23,4096,1,1,3.3000
24,4096,1,1,3.2083
25,4096,1,1,3.3000
26,4096,1,1,3.2083
27,4096,1,1,3.3000
28,4096,1,1,3.2083
29,4096,1,1,3.3000
30,4096,1,1,3.2083
31,4096,1,1,3.3000
32,4096,1,1,3.2083
33,4096,1,1,3.2083
34,4096,1,1,3.2083
35,4096,1,1,3.3000
36,4096,1,1,3.2083
37,4096,1,1,3.3000
38,4096,1,1,3.2083
39,4096,1,1,3.3000
40,4096,1,1,3.2083
41,4096,1,1,3.3000
42,4096,1,1,3.2083
43,4096,1,1,3.3000
44,4096,1,1,3.2083
45,4096,1,1,3.3000
46,4096,1,1,3.2083
47,4096,1,1,3.3000
48,4096,1,1,3.2083
49,4096,1,1,3.3000
50,4096,1,1,3.2083
51,4096,1,1,3.3000
52,4096,1,1,3.2083
53,4096,1,1,3.3000
54,4096,1,1,3.2083
55,4096,1,1,3.3000
56,4096,1,1,3.2083
57,4096,1,1,3.3000
58,4096,1,1,3.2083
59,4096,1,1,3.3000
60,4096,1,1,3.2083
61,4096,1,1,3.3000
62,4096,1,1,3.2083
63,4096,1,1,3.3000
64,4096,1,1,3.2083
65,4096,1,1,3.3000
66,4096,1,1,3.2083
67,4096,1,1,3.2083
68,4096,1,1,3.2083
69,4096,1,1,3.2083
70,4096,1,1,3.2083
71,4096,1,1,3.2083
72,4096,1,1,3.3000
73,4096,1,1,3.2083
74,4096,1,1,3.3000
75,4096,1,1,3.2083
76,4096,1,1,3.3000
77,4096,1,1,3.2083
78,4096,1,1,3.3000
79,4096,1,1,3.2083
80,4096,1,1,3.3000
81,4096,1,1,3.2083
82,4096,1,1,3.2083
83,4096,1,1,3.2083
84,4096,1,1,3.2083
85,4096,1,1,3.2083
86,4096,1,1,3.2083
87,4096,1,1,3.2083
88,4096,1,1,3.2083
89,4096,1,1,3.3000
90,4096,1,1,3.2083
91,4096,1,1,3.3000
92,4096,1,1,3.2083
93,4096,1,1,3.3000
94,4096,1,1,3.2083
95,4096,1,1,3.3000
96,4096,1,1,3.2083
97,4096,1,1,3.3000
98,4096,1,1,3.2083
99,4096,1,1,3.3000
100,4096,1,1,3.2083
