Run,Mem_MiB,T_cost,Lanes,HashRate_Hs
1,2048,1,1,13.8000
2,2048,1,1,13.6083
3,2048,1,1,13.6083
4,2048,1,1,13.6083
5,2048,1,1,13.6083
6,2048,1,1,13.6083
7,2048,1,1,13.6083
8,2048,1,1,13.6083
9,2048,1,1,13.6083
10,2048,1,1,13.6083
11,2048,1,1,13.6083
12,2048,1,1,13.6083
13,2048,1,1,13.6083
14,2048,1,1,13.6083
15,2048,1,1,13.6083
16,2048,1,1,13.6083
17,2048,1,1,13.6083
18,2048,1,1,13.6083
19,2048,1,1,13.6083
20,2048,1,1,13.6083
21,2048,1,1,13.6083
22,2048,1,1,13.6083
23,2048,1,1,13.6083
24,2048,1,1,13.6083
25,2048,1,1,13.6083
26,2048,1,1,13.6083
27,2048,1,1,13.6083
28,2048,1,1,13.6083
29,2048,1,1,13.6083
30,2048,1,1,13.6083
31,2048,1,1,13.6083
32,2048,1,1,13.6083
33,2048,1,1,13.6083
34,2048,1,1,13.6083
35,2048,1,1,13.6083
36,2048,1,1,13.6083
37,2048,1,1,13.6083
38,2048,1,1,13.6083
39,2048,1,1,13.6083
40,2048,1,1,13.6083
41,2048,1,1,13.6083
42,2048,1,1,13.6083
43,2048,1,1,13.6083
44,2048,1,1,13.6083
45,2048,1,1,13.6083
46,2048,1,1,13.6083
47,2048,1,1,13.6083
48,2048,1,1,13.6083
49,2048,1,1,13.6083
50,2048,1,1,13.6083
51,2048,1,1,13.6083
52,2048,1,1,13.6083
53,2048,1,1,13.6083
54,2048,1,1,13.6083
55,2048,1,1,13.6083
56,2048,1,1,13.6083
57,2048,1,1,13.6083
58,2048,1,1,13.6083
59,2048,1,1,13.6083
60,2048,1,1,13.6083
61,2048,1,1,13.6083
62,2048,1,1,13.6083
63,2048,1,1,13.6083
64,2048,1,1,13.6083
65,2048,1,1,13.6083
66,2048,1,1,13.6083
67,2048,1,1,13.6083
68,2048,1,1,13.6083
69,2048,1,1,13.6083
70,2048,1,1,13.6083
71,2048,1,1,13.6083
72,2048,1,1,13.6083
73,2048,1,1,13.6083
74,2048,1,1,13.6083
75,2048,1,1,13.6083
76,2048,1,1,13.6083
77,2048,1,1,13.6083
78,2048,1,1,13.6083
79,2048,1,1,13.6083
80,2048,1,1,13.6083
81,2048,1,1,13.6083
82,2048,1,1,13.6083
83,2048,1,1,13.6083
84,2048,1,1,13.6083
85,2048,1,1,13.6083
86,2048,1,1,13.6083
87,2048,1,1,13.6083
88,2048,1,1,13.6083
89,2048,1,1,13.6083
90,2048,1,1,13.6083
91,2048,1,1,13.6083
92,2048,1,1,13.6083
93,2048,1,1,13.6083
94,2048,1,1,13.6083
95,2048,1,1,13.6083
96,2048,1,1,13.6083
97,2048,1,1,13.6083
98,2048,1,1,13.6083
99,2048,1,1,13.6083
100,2048,1,1,13.6083
