Run,Mem_MiB,Target_Hashes,Actual_Hashes,Time_Seconds,Speed_Hs
1,16384,5,6,52.3575,0.1146
2,16384,5,6,52.2386,0.1149
3,16384,5,6,52.2381,0.1149
