Run,Mem_MiB,Target_Hashes,Actual_Hashes,Time_Seconds,Speed_Hs
1,16384,25,0,15.0528,0.0000
2,16384,25,0,9.0361,0.0000
3,16384,25,0,9.0357,0.0000
4,16384,25,0,9.0365,0.0000
5,16384,25,0,9.0370,0.0000
6,16384,25,0,9.0351,0.0000
7,16384,25,0,9.0375,0.0000
8,16384,25,0,9.0359,0.0000
9,16384,25,0,9.0365,0.0000
10,16384,25,0,9.0372,0.0000
