Run,Mem_MiB,T_cost,Lanes,HashRate_Hs
1,256,1,1,802
2,256,1,1,802
3,256,1,1,802
4,256,1,1,802
5,256,1,1,802
6,256,1,1,802
7,256,1,1,802
8,256,1,1,802
9,256,1,1,802
10,256,1,1,802
11,256,1,1,802
12,256,1,1,802
13,256,1,1,802
14,256,1,1,802
15,256,1,1,803
16,256,1,1,802
17,256,1,1,802
18,256,1,1,802
19,256,1,1,802
20,256,1,1,802
21,256,1,1,802
22,256,1,1,802
23,256,1,1,802
24,256,1,1,803
25,256,1,1,802
26,256,1,1,802
27,256,1,1,802
28,256,1,1,802
29,256,1,1,802
30,256,1,1,801
31,256,1,1,802
32,256,1,1,802
33,256,1,1,802
34,256,1,1,802
35,256,1,1,802
36,256,1,1,802
37,256,1,1,802
38,256,1,1,801
39,256,1,1,802
40,256,1,1,803
41,256,1,1,803
42,256,1,1,802
43,256,1,1,802
44,256,1,1,802
45,256,1,1,802
46,256,1,1,803
47,256,1,1,802
48,256,1,1,802
49,256,1,1,802
50,256,1,1,802
51,256,1,1,802
52,256,1,1,802
53,256,1,1,801
54,256,1,1,802
55,256,1,1,801
56,256,1,1,802
57,256,1,1,802
58,256,1,1,803
59,256,1,1,802
60,256,1,1,802
61,256,1,1,802
62,256,1,1,802
63,256,1,1,802
64,256,1,1,802
65,256,1,1,802
66,256,1,1,802
67,256,1,1,802
68,256,1,1,802
69,256,1,1,801
70,256,1,1,803
71,256,1,1,802
72,256,1,1,802
73,256,1,1,802
74,256,1,1,802
75,256,1,1,803
76,256,1,1,803
77,256,1,1,802
78,256,1,1,802
79,256,1,1,802
80,256,1,1,802
81,256,1,1,802
82,256,1,1,801
83,256,1,1,802
84,256,1,1,802
85,256,1,1,802
86,256,1,1,802
87,256,1,1,803
88,256,1,1,802
89,256,1,1,801
90,256,1,1,802
91,256,1,1,802
92,256,1,1,802
93,256,1,1,802
94,256,1,1,802
95,256,1,1,802
96,256,1,1,802
97,256,1,1,802
98,256,1,1,802
99,256,1,1,801
100,256,1,1,802
