Run,Time_ms
1,603.510243000
2,600.850995000
3,614.277078000
4,613.243568000
5,612.127826000
6,613.369191000
7,606.402788000
8,610.450969000
9,605.358175000
10,612.059239000
11,603.608657000
12,609.769954000
13,614.362351000
14,599.275813000
15,603.460879000
16,621.647954000
17,601.981834000
18,629.193551000
19,614.325655000
20,625.316716000
21,615.745251000
22,609.560610000
23,612.680619000
24,609.552277000
25,612.485154000
26,629.464291000
27,609.210973000
28,631.510895000
29,617.061034000
30,621.115131000
31,620.426190000
32,649.999569000
33,615.058661000
34,632.355509000
35,617.437795000
36,610.926736000
37,621.574576000
38,617.817752000
39,619.277033000
40,619.583052000
41,622.177066000
42,631.087230000
43,617.522104000
44,633.065105000
45,633.925419000
46,633.807486000
47,620.825163000
48,631.459295000
49,626.657722000
50,626.700736000
51,620.173162000
52,629.929517000
53,628.699371000
54,635.872764000
55,647.167772000
56,649.526704000
57,626.316731000
58,624.843241000
59,626.259636000
60,622.871424000
61,631.335434000
62,622.927183000
63,624.995344000
64,626.714200000
65,621.226478000
66,641.664418000
67,617.183256000
68,625.475722000
69,634.467593000
70,643.941767000
71,623.697478000
72,628.512309000
73,641.083176000
74,652.977045000
75,621.453626000
76,610.854153000
77,636.692187000
78,620.238638000
79,627.916939000
80,627.642006000
81,633.490718000
82,615.050522000
83,611.454658000
84,605.370375000
85,618.857820000
86,624.216406000
87,617.177781000
88,629.897356000
89,632.114274000
90,643.676524000
91,629.411091000
92,632.148827000
93,643.828375000
94,634.281306000
95,626.874022000
96,618.513619000
97,611.200065000
98,611.445280000
99,626.657677000
100,612.367686000
101,637.288563000
102,651.634497000
103,640.072972000
104,633.885500000
105,642.975398000
106,632.132124000
107,622.299868000
108,636.746487000
109,636.838523000
110,628.181789000
111,627.346481000
112,635.847672000
113,625.748899000
114,635.994308000
115,623.930892000
116,630.971637000
117,631.815536000
118,644.550090000
119,629.264899000
120,637.682875000
121,626.833078000
122,619.662083000
123,621.753139000
124,637.087208000
125,613.774369000
126,617.662158000
127,629.322270000
128,629.663037000
129,624.637365000
130,617.542743000
131,626.160475000
132,642.652003000
133,623.762500000
134,644.344140000
135,625.700595000
136,629.432100000
137,638.730557000
138,624.209779000
139,616.688430000
140,618.283774000
141,609.399806000
142,620.820923000
143,615.469269000
144,615.726367000
145,617.441827000
146,615.759364000
147,621.485529000
148,612.522551000
149,599.644518000
150,608.473890000
151,596.355040000
152,623.426667000
153,628.210629000
154,645.369606000
155,631.726002000
156,618.828875000
157,637.548901000
158,619.976975000
159,619.715876000
160,626.232279000
161,644.787222000
162,616.645303000
163,615.527600000
164,625.258298000
165,616.084848000
166,608.883914000
167,618.092465000
168,616.000494000
169,628.013510000
170,616.024805000
171,616.947605000
172,620.155883000
173,615.179672000
174,622.216611000
175,623.817668000
176,620.026471000
177,624.511554000
178,618.549674000
179,616.586742000
180,618.547105000
181,611.297842000
182,623.346214000
183,620.697106000
184,621.576036000
185,618.850434000
186,614.947040000
187,617.174669000
188,619.251687000
189,620.750464000
190,625.308040000
191,627.384996000
192,617.213858000
193,620.283551000
194,616.385056000
195,629.402198000
196,618.735768000
197,617.998394000
198,616.153680000
199,616.959246000
200,625.148693000
