Run,Time_ms
1,291.616984000
2,286.889928000
3,285.906235000
4,293.805829000
5,290.175610000
6,292.776071000
7,285.216130000
8,292.495084000
9,288.194540000
10,293.198134000
11,282.993578000
12,285.973937000
13,290.581579000
14,293.282030000
15,292.361954000
16,292.438487000
17,288.896831000
18,291.076797000
19,294.095995000
20,285.843963000
21,293.580932000
22,288.034827000
23,289.609962000
24,287.272452000
25,297.172390000
26,291.417753000
27,284.645106000
28,297.451199000
29,294.180533000
30,289.613795000
31,285.604895000
32,291.604634000
33,305.073507000
34,302.030473000
35,303.176948000
36,292.705852000
37,286.978131000
38,286.572463000
39,291.385371000
40,287.091510000
41,287.577025000
42,295.456061000
43,286.744867000
44,293.394059000
45,287.017412000
46,294.003201000
47,287.781168000
48,295.816145000
49,287.745606000
50,288.291261000
51,295.733304000
52,295.480874000
53,294.084371000
54,289.126738000
55,288.333974000
56,294.151830000
57,288.717142000
58,289.011058000
59,291.985610000
60,287.829012000
61,288.354793000
62,285.136367000
63,290.124715000
64,286.801574000
65,289.707276000
66,288.437443000
67,293.994329000
68,291.911804000
69,289.320169000
70,294.240772000
71,288.235151000
72,287.431081000
73,293.596253000
74,287.096786000
75,287.032313000
76,286.537994000
77,289.994650000
78,287.012402000
79,288.702299000
80,291.223559000
81,287.388698000
82,291.555757000
83,290.451616000
84,294.157718000
85,290.813564000
86,294.770203000
87,296.814380000
88,293.209695000
89,293.594488000
90,322.879775000
91,296.073018000
92,295.594376000
93,314.407229000
94,290.289102000
95,298.093760000
96,291.511216000
97,290.700430000
98,291.854640000
99,292.766162000
100,294.030489000
101,293.014181000
102,297.539534000
103,291.339204000
104,298.005996000
105,295.383909000
106,296.051824000
107,291.149590000
108,295.065990000
109,290.560002000
110,290.714514000
111,298.025774000
112,291.660775000
113,295.808165000
114,311.927264000
115,299.732646000
116,292.864153000
117,291.131581000
118,293.313135000
119,293.303252000
120,299.575467000
121,300.177827000
122,296.391990000
123,299.023652000
124,298.182659000
125,293.802840000
126,297.316193000
127,301.948715000
128,293.441620000
129,288.229717000
130,293.680853000
131,287.695162000
132,293.760262000
133,290.972984000
134,292.964939000
135,293.713659000
136,299.742574000
137,290.293849000
138,290.780397000
139,298.030134000
140,296.880601000
141,290.133628000
142,295.680883000
143,295.362395000
144,300.403931000
145,294.333602000
146,289.257229000
147,297.835914000
148,295.160519000
149,295.702565000
150,291.861083000
151,299.790726000
152,291.018415000
153,296.015942000
154,293.913040000
155,292.564366000
156,298.756325000
157,295.686813000
158,295.397290000
159,300.903321000
160,297.471380000
161,293.868904000
162,303.037452000
163,294.728524000
164,293.602265000
165,303.135329000
166,303.753301000
167,297.846579000
168,300.976569000
169,304.032767000
170,302.058422000
171,302.885771000
172,299.695795000
173,302.848735000
174,301.974042000
175,300.534384000
176,302.394569000
177,301.551394000
178,298.211955000
179,289.599284000
180,291.703547000
181,288.231275000
182,290.801864000
183,291.955632000
184,328.249061000
185,323.813603000
186,294.582495000
187,305.433319000
188,300.434904000
189,290.632412000
190,307.925247000
191,298.080805000
192,294.912961000
193,299.811898000
194,296.693487000
195,293.224760000
196,296.702282000
197,296.475660000
198,298.291994000
199,295.171382000
200,295.423410000
