Run,Time_ms
1,4911.963594000
2,4878.017174000
3,4899.395286000
4,4893.819891000
5,4939.114990000
6,4896.085162000
7,4945.171060000
8,4935.300069000
9,4939.738010000
10,4942.291042000
11,4888.381563000
12,4946.065220000
13,4900.058955000
14,4939.309792000
15,4942.683470000
16,4892.612350000
17,4876.344870000
18,4926.823721000
19,4939.567222000
20,4949.993250000
21,4935.116689000
22,4947.379232000
23,4911.861263000
24,4899.441676000
25,4919.919247000
26,4899.823633000
27,4891.828423000
28,4960.685503000
29,4907.639050000
30,4893.653549000
31,5075.655434000
32,4891.953762000
33,4979.807446000
34,4886.446727000
35,4901.380143000
36,4912.285327000
37,4931.385285000
38,4896.103060000
39,4948.017635000
40,4908.609589000
41,4938.489481000
42,4979.562884000
43,4963.233462000
44,5092.356066000
45,4943.460002000
46,5052.437277000
47,4947.199647000
48,4895.405362000
49,4903.096142000
50,4907.373955000
51,4895.457161000
52,4976.227390000
53,4887.659442000
54,4902.743585000
55,4941.060980000
56,4900.273868000
57,4942.485226000
58,4933.854649000
59,4933.414968000
60,4874.793809000
61,4919.689149000
62,4899.347768000
63,4895.893452000
64,4916.069389000
65,4944.441622000
66,4962.964194000
67,4903.701601000
68,4896.855757000
69,4941.932758000
70,4913.580100000
71,4948.215945000
72,4907.519192000
73,4905.879875000
74,4950.413850000
75,4940.935180000
76,4911.783168000
77,4930.473656000
78,4929.257683000
79,4967.815069000
80,4877.023264000
81,4910.596875000
82,4920.070137000
83,4916.703188000
84,4916.039013000
85,4937.422613000
86,4873.780339000
87,4907.989615000
88,4923.935500000
89,4944.930565000
90,4922.379164000
91,4905.961252000
92,4906.862799000
93,4892.687739000
94,4926.594792000
95,4910.046063000
96,4934.833401000
97,4930.771684000
98,4900.188967000
99,4905.533559000
100,4921.117540000
101,4933.027282000
102,4946.186418000
103,4922.852744000
104,4915.863020000
105,4931.503677000
106,4918.611117000
107,4905.306374000
108,4950.712566000
109,4958.769975000
110,4921.232569000
111,4951.894644000
112,4961.684425000
113,4925.545230000
114,4940.149682000
115,4901.722150000
116,4929.961926000
117,4942.105363000
118,4906.167717000
119,4894.456901000
120,4895.220031000
121,4875.015237000
122,4887.348075000
123,4876.800693000
124,4898.548885000
125,4889.950347000
126,4886.079825000
127,4887.613687000
128,4906.847108000
129,4927.280210000
130,4881.634652000
131,4903.883282000
132,4889.625319000
133,4892.749793000
134,4924.551916000
135,4931.023344000
136,4921.801261000
137,4887.679397000
138,4923.744901000
139,4946.840730000
140,4890.954840000
141,4911.740583000
142,4894.768928000
143,4946.766301000
144,4911.698005000
145,4975.777648000
146,4926.508026000
147,4918.380235000
148,4866.750560000
149,4918.337061000
150,4917.388879000
151,4924.006821000
152,4898.534593000
153,4917.206966000
154,4919.724245000
155,4936.307146000
156,4933.934709000
157,4898.724320000
158,4874.144471000
159,4875.601467000
160,4934.570754000
161,4901.771129000
162,4937.639734000
163,4877.294542000
164,4898.960844000
165,4933.361633000
166,4894.618472000
167,4879.942781000
168,4931.540153000
169,4889.639597000
170,4888.324636000
171,4898.406287000
172,4921.980852000
173,4906.502587000
174,4892.407776000
175,4890.045312000
176,4966.395024000
177,4941.177854000
178,4940.208425000
179,4922.665457000
180,4882.711581000
181,4885.675221000
182,4912.180355000
183,4959.582338000
184,4930.333673000
185,4908.647031000
186,4908.111367000
187,4957.230697000
188,4901.175596000
189,4944.162180000
190,4923.654916000
191,4910.493413000
192,4942.706798000
193,4900.543111000
194,4873.635079000
195,4924.592408000
196,4884.741617000
197,4947.436718000
198,4908.309155000
199,4926.539845000
200,4891.450859000
