Run,Time_ms
1,10010.458653000
2,10003.458269000
3,10014.372808000
4,10041.335697000
5,10098.997655000
6,10102.087791000
7,9971.240892000
8,10041.440531000
9,10184.104281000
10,10052.947286000
11,9965.112096000
12,10230.992757000
13,10379.684042000
14,10303.562459000
15,10130.168732000
16,10231.429092000
17,9982.399693000
18,10017.578825000
19,9968.794275000
20,9972.268457000
21,10184.759812000
22,10027.712183000
23,10064.056322000
24,10106.537913000
25,10100.745969000
26,10043.625666000
27,10036.979019000
28,10043.353033000
29,10119.573212000
30,10161.787866000
31,10098.284371000
32,10031.003420000
33,10043.807993000
34,10215.287664000
35,10301.227974000
36,10208.185247000
37,10104.835233000
38,10028.072874000
39,10069.455517000
40,9971.908163000
41,10038.721048000
42,10049.879528000
43,9980.044140000
44,10048.245319000
45,10057.783128000
46,10040.558779000
47,10049.304168000
48,10041.495540000
49,10177.952339000
50,10063.083112000
51,9939.288075000
52,10000.096152000
53,10053.118482000
54,10003.849124000
55,10036.291418000
56,9992.271823000
57,10018.733445000
58,10047.178402000
59,10060.117330000
60,10071.605240000
61,10013.146371000
62,10047.001406000
63,10056.023303000
64,10067.702428000
65,10041.337860000
66,10012.027199000
67,10003.014344000
68,9987.647680000
69,10143.419909000
70,10065.325914000
71,10011.111817000
72,10046.825465000
73,10390.127163000
74,10276.770483000
75,10029.434653000
76,10075.514103000
77,10127.339107000
78,10004.678408000
79,10064.861192000
80,9992.425278000
81,9980.699266000
82,9977.177943000
83,10199.555137000
84,10033.013289000
85,10169.260231000
86,9998.258917000
87,9971.783085000
88,9977.678502000
89,9968.596799000
90,9973.720047000
91,10005.251268000
92,10001.783942000
93,9959.027200000
94,9974.974844000
95,10052.700729000
96,10060.346284000
97,9990.353218000
98,9980.229457000
99,9961.754609000
100,10026.442174000
101,10085.872550000
102,10051.639723000
103,10082.095340000
104,9967.812780000
105,9969.750551000
106,9968.986578000
107,10055.168870000
108,9954.310307000
109,9960.350347000
110,10003.929414000
111,9988.842913000
112,10061.194404000
113,9986.206714000
114,9997.891243000
115,10127.926775000
116,10064.549441000
117,10190.737696000
118,10072.080979000
119,10078.282191000
120,10160.863818000
121,10272.025613000
122,10232.519119000
123,10184.512483000
124,10166.157052000
125,10065.702569000
126,10043.122718000
127,9998.066657000
128,10254.007381000
129,10276.407372000
130,10148.165812000
131,10076.228509000
132,10176.690406000
133,10032.631691000
134,10232.767600000
135,10156.972672000
136,10059.966900000
137,10052.941982000
138,10148.902825000
139,9971.471614000
140,10081.695187000
141,10148.036810000
142,9997.421221000
143,10007.098603000
144,9962.273158000
145,10124.558993000
146,10069.054135000
147,10058.223676000
148,9990.097485000
149,9962.609847000
150,10064.271009000
151,10032.706063000
152,10037.977473000
153,9993.745213000
154,9970.998337000
155,10016.824133000
156,9998.499891000
157,10003.172676000
158,10012.146295000
159,10070.531910000
160,10025.746440000
161,10104.387739000
162,10015.288403000
163,10037.391377000
164,10008.385264000
165,9998.815600000
166,10022.538687000
167,10013.005107000
168,9998.200795000
169,10010.920701000
170,9996.850118000
171,10102.368149000
172,10102.075085000
173,10140.452471000
174,10001.481390000
175,10179.793316000
176,10035.146989000
177,10120.387157000
178,10044.742241000
179,10077.871773000
180,10010.634296000
181,10200.844283000
182,10215.068704000
183,10192.854390000
184,10157.605157000
185,10211.772274000
186,10169.419762000
187,10085.645401000
188,10041.840141000
189,10005.388392000
190,9983.766849000
191,9999.363322000
192,10024.128738000
193,10119.091636000
194,10173.334674000
195,10043.353785000
196,10045.700744000
197,10050.461948000
198,10109.898472000
199,10065.982380000
200,10103.135834000
