Run,Points,InputLen_bytes,Time_ms
1,4,59,3.723497000
2,4,59,3.784349000
3,4,59,3.726689000
4,4,59,4.370505000
5,4,59,4.054123000
6,4,59,3.830971000
7,4,59,3.965923000
8,4,59,3.719064000
9,4,59,3.751306000
10,4,59,3.731355000
11,4,59,3.659508000
12,4,59,3.739168000
13,4,59,3.765349000
14,4,59,3.951511000
15,4,59,4.056239000
16,4,59,3.710777000
17,4,59,3.780335000
18,4,59,3.731462000
19,4,59,3.598284000
20,4,59,3.813775000
21,4,59,3.687059000
22,4,59,3.879727000
23,4,59,3.851838000
24,4,59,3.723479000
25,4,59,3.687350000
26,4,59,3.761088000
27,4,59,3.744357000
28,4,59,3.870638000
29,4,59,3.712379000
30,4,59,3.845258000
31,4,59,3.763821000
32,4,59,3.706641000
33,4,59,3.658441000
34,4,59,3.788535000
35,4,59,3.706386000
36,4,59,3.862596000
37,4,59,3.702025000
38,4,59,3.907654000
39,4,59,3.788028000
40,4,59,3.745319000
41,4,59,3.697160000
42,4,59,3.825692000
43,4,59,3.740360000
44,4,59,3.713122000
45,4,59,3.724764000
46,4,59,3.908590000
47,4,59,3.799239000
48,4,59,3.700924000
49,4,59,3.729687000
50,4,59,3.727220000
51,4,59,3.674018000
52,4,59,3.834005000
53,4,59,3.736507000
54,4,59,4.023227000
55,4,59,3.983405000
56,4,59,3.614842000
57,4,59,3.934728000
58,4,59,3.686932000
59,4,59,3.712136000
60,4,59,3.747945000
61,4,59,3.703486000
62,4,59,3.812521000
63,4,59,3.886162000
64,4,59,4.041496000
65,4,59,3.787868000
66,4,59,3.883282000
67,4,59,3.731009000
68,4,59,3.784077000
69,4,59,3.820336000
70,4,59,4.082322000
71,4,59,3.919007000
72,4,59,3.827739000
73,4,59,3.778291000
74,4,59,3.722748000
75,4,59,3.727856000
76,4,59,3.808163000
77,4,59,3.769158000
78,4,59,4.157944000
79,4,59,3.785056000
80,4,59,3.764371000
81,4,59,3.754184000
82,4,59,3.740845000
83,4,59,3.710423000
84,4,59,3.874370000
85,4,59,3.906484000
86,4,59,4.139496000
87,4,59,3.690642000
88,4,59,3.781588000
89,4,59,3.798530000
90,4,59,3.706312000
91,4,59,3.650536000
92,4,59,3.690056000
93,4,59,3.759428000
94,4,59,3.747336000
95,4,59,3.568179000
96,4,59,3.608287000
97,4,59,3.708635000
98,4,59,3.691245000
99,4,59,3.706935000
100,4,59,3.750068000
101,4,59,3.809822000
102,4,59,3.916035000
103,4,59,3.733246000
104,4,59,3.658568000
105,4,59,3.713913000
106,4,59,3.713855000
107,4,59,3.611642000
108,4,59,3.643601000
109,4,59,3.738550000
110,4,59,3.999305000
111,4,59,3.787784000
112,4,59,3.703209000
113,4,59,3.728180000
114,4,59,3.824498000
115,4,59,4.009441000
116,4,59,4.460512000
117,4,59,3.810842000
118,4,59,3.763783000
119,4,59,3.646045000
120,4,59,3.715017000
121,4,59,3.749208000
122,4,59,3.578979000
123,4,59,3.619016000
124,4,59,3.653106000
125,4,59,3.820780000
126,4,59,4.112372000
127,4,59,3.743910000
128,4,59,3.729215000
129,4,59,3.762953000
130,4,59,3.732096000
131,4,59,3.799268000
132,4,59,3.741410000
133,4,59,4.049378000
134,4,59,3.972799000
135,4,59,3.751497000
136,4,59,3.714425000
137,4,59,3.667444000
138,4,59,3.710121000
139,4,59,3.673454000
140,4,59,3.804776000
141,4,59,3.794717000
142,4,59,3.835386000
143,4,59,3.806781000
144,4,59,3.693743000
145,4,59,3.652709000
146,4,59,3.708357000
147,4,59,3.737457000
148,4,59,3.701331000
149,4,59,4.059096000
150,4,59,3.840377000
151,4,59,3.677880000
152,4,59,3.766695000
153,4,59,3.789691000
154,4,59,3.754877000
155,4,59,3.707525000
156,4,59,3.596223000
157,4,59,4.000747000
158,4,59,3.932947000
159,4,59,3.645309000
160,4,59,3.745758000
161,4,59,3.718235000
162,4,59,3.673071000
163,4,59,3.743053000
164,4,59,3.789521000
165,4,59,3.820919000
166,4,59,4.116374000
