Run,Total_H_per_s,NumDevices,SpeedLines
436,9151700000.000,1,"Speed.#1.........: 9151.7 MH/s (76.50ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
437,9145600000.000,1,"Speed.#1.........: 9145.6 MH/s (76.54ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
438,9150900000.000,1,"Speed.#1.........: 9150.9 MH/s (76.52ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
439,9138100000.000,1,"Speed.#1.........: 9138.1 MH/s (76.61ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
440,9144700000.000,1,"Speed.#1.........: 9144.7 MH/s (76.61ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
441,9147400000.000,1,"Speed.#1.........: 9147.4 MH/s (76.54ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
442,9154900000.000,1,"Speed.#1.........: 9154.9 MH/s (76.49ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
443,9154500000.000,1,"Speed.#1.........: 9154.5 MH/s (76.51ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
444,9153200000.000,1,"Speed.#1.........: 9153.2 MH/s (76.50ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
445,9158400000.000,1,"Speed.#1.........: 9158.4 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
446,9156800000.000,1,"Speed.#1.........: 9156.8 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
447,9152800000.000,1,"Speed.#1.........: 9152.8 MH/s (76.56ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
448,9150800000.000,1,"Speed.#1.........: 9150.8 MH/s (76.52ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
449,9159800000.000,1,"Speed.#1.........: 9159.8 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
450,9153500000.000,1,"Speed.#1.........: 9153.5 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
451,9171500000.000,1,"Speed.#1.........: 9171.5 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
452,9158500000.000,1,"Speed.#1.........: 9158.5 MH/s (76.50ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
453,9161600000.000,1,"Speed.#1.........: 9161.6 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
454,9157100000.000,1,"Speed.#1.........: 9157.1 MH/s (76.50ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
