Run,Points,InputLen,HashRate,StatusLines,Mask
1,4,59,10690131,13,?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d
2,4,59,10738308,13,?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d
3,4,59,10695015,13,?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d
