Run,Points,InputLen_bytes,Time_ms
1,1,14,4.232870000
2,1,14,4.331329000
3,1,14,4.067091000
4,1,14,4.153374000
5,1,14,3.716556000
6,1,14,3.789286000
7,1,14,3.826821000
8,1,14,3.728231000
9,1,14,3.658403000
10,1,14,3.794781000
11,1,14,3.814389000
12,1,14,3.636227000
13,1,14,3.652008000
14,1,14,3.742137000
15,1,14,3.651513000
16,1,14,3.888887000
17,1,14,3.824086000
18,1,14,4.001691000
19,1,14,3.741324000
20,1,14,3.641791000
21,1,14,3.703211000
22,1,14,3.868610000
23,1,14,3.747877000
24,1,14,3.790519000
25,1,14,3.613857000
26,1,14,3.723378000
27,1,14,3.681510000
28,1,14,3.913819000
29,1,14,3.798145000
30,1,14,3.736911000
31,1,14,3.658431000
32,1,14,3.649294000
33,1,14,3.681412000
34,1,14,3.714946000
35,1,14,3.640921000
36,1,14,3.668353000
37,1,14,3.703577000
38,1,14,3.723732000
39,1,14,3.806059000
40,1,14,3.817318000
41,1,14,3.713289000
42,1,14,3.678399000
43,1,14,3.706361000
44,1,14,3.785030000
45,1,14,3.678572000
46,1,14,3.673431000
47,1,14,3.756579000
48,1,14,3.874785000
49,1,14,3.766800000
50,1,14,3.734400000
51,1,14,3.644440000
52,1,14,3.658630000
53,1,14,3.654455000
54,1,14,3.791451000
55,1,14,3.681573000
56,1,14,3.682572000
57,1,14,3.671727000
58,1,14,3.704811000
59,1,14,3.687083000
60,1,14,3.785759000
61,1,14,3.820014000
62,1,14,3.974325000
63,1,14,3.624705000
64,1,14,3.781006000
65,1,14,3.755898000
66,1,14,3.738474000
67,1,14,3.769242000
68,1,14,3.692134000
69,1,14,3.628063000
70,1,14,3.632343000
71,1,14,3.670408000
72,1,14,3.634462000
73,1,14,3.702719000
74,1,14,3.665158000
75,1,14,3.648641000
76,1,14,3.647226000
77,1,14,3.642617000
78,1,14,3.626387000
79,1,14,3.635637000
80,1,14,3.778594000
81,1,14,3.934513000
82,1,14,3.776260000
83,1,14,3.688586000
84,1,14,3.738799000
85,1,14,3.786870000
86,1,14,3.643939000
87,1,14,3.932041000
88,1,14,3.733045000
89,1,14,3.706043000
90,1,14,3.740155000
91,1,14,3.652662000
92,1,14,3.650236000
93,1,14,3.968511000
94,1,14,4.016923000
95,1,14,3.796440000
96,1,14,3.700123000
97,1,14,3.677460000
98,1,14,3.775006000
99,1,14,3.807354000
100,1,14,3.667510000
101,1,14,3.618189000
102,1,14,3.630406000
103,1,14,4.347293000
104,1,14,4.182109000
105,1,14,3.635945000
106,1,14,3.741246000
107,1,14,3.653853000
108,1,14,4.079360000
109,1,14,4.169767000
110,1,14,3.796067000
111,1,14,3.765599000
112,1,14,3.721120000
113,1,14,3.696015000
114,1,14,3.679569000
115,1,14,3.635126000
116,1,14,4.082495000
117,1,14,4.178304000
118,1,14,3.861802000
119,1,14,3.680130000
120,1,14,3.954515000
121,1,14,3.763276000
122,1,14,3.660166000
123,1,14,3.688930000
124,1,14,3.791144000
125,1,14,3.862087000
126,1,14,3.749746000
127,1,14,3.624399000
128,1,14,3.821192000
129,1,14,3.660922000
130,1,14,3.773482000
131,1,14,3.705959000
132,1,14,3.636144000
133,1,14,4.716649000
134,1,14,3.735572000
135,1,14,3.736635000
136,1,14,3.704591000
137,1,14,3.543950000
138,1,14,3.699541000
139,1,14,3.838185000
140,1,14,3.641960000
141,1,14,3.651398000
142,1,14,3.675071000
143,1,14,3.582066000
144,1,14,3.793062000
145,1,14,3.727402000
146,1,14,3.610960000
147,1,14,3.556685000
148,1,14,3.669393000
149,1,14,3.682282000
150,1,14,3.673645000
151,1,14,3.683007000
152,1,14,3.692185000
153,1,14,3.631903000
154,1,14,3.707183000
155,1,14,3.696986000
156,1,14,3.672394000
157,1,14,3.659137000
158,1,14,3.747798000
159,1,14,3.694198000
160,1,14,3.656199000
161,1,14,3.703368000
162,1,14,3.653900000
163,1,14,3.960263000
164,1,14,3.836894000
165,1,14,3.997853000
166,1,14,3.739772000
167,1,14,3.735928000
168,1,14,3.750376000
169,1,14,3.729009000
170,1,14,3.666985000
171,1,14,3.692050000
172,1,14,3.645427000
