Run,Points,InputLen,HashRate,StatusLines,Mask
1,1,14,13025615,13,?d?d?d?d?d?d?d?d?d?d?d?d?d?d
2,1,14,13165669,13,?d?d?d?d?d?d?d?d?d?d?d?d?d?d
3,1,14,13359177,13,?d?d?d?d?d?d?d?d?d?d?d?d?d?d
