Run,Points,InputLen_bytes,Time_ms
1,5,74,3.828706000
2,5,74,3.799367000
3,5,74,4.027257000
4,5,74,3.833787000
5,5,74,3.960321000
6,5,74,3.868511000
7,5,74,3.760074000
8,5,74,3.857925000
9,5,74,3.796215000
10,5,74,4.112271000
11,5,74,3.790876000
12,5,74,3.850827000
13,5,74,4.134065000
14,5,74,3.856010000
15,5,74,4.084091000
16,5,74,3.897853000
17,5,74,3.783558000
18,5,74,3.687205000
19,5,74,3.730509000
20,5,74,3.817644000
21,5,74,3.827027000
22,5,74,3.963079000
23,5,74,4.123908000
24,5,74,4.057242000
25,5,74,3.778856000
26,5,74,3.725527000
27,5,74,3.953274000
28,5,74,3.812116000
29,5,74,3.710064000
30,5,74,3.681798000
31,5,74,3.721421000
32,5,74,3.787266000
33,5,74,3.770781000
34,5,74,3.814568000
35,5,74,3.762010000
36,5,74,3.891520000
37,5,74,3.874385000
38,5,74,3.854292000
39,5,74,3.694506000
40,5,74,3.784242000
41,5,74,3.838333000
42,5,74,3.870221000
43,5,74,3.868394000
44,5,74,3.869208000
45,5,74,3.819446000
46,5,74,3.806225000
47,5,74,3.753041000
48,5,74,3.838248000
49,5,74,3.771096000
50,5,74,3.794618000
51,5,74,4.019375000
52,5,74,3.882258000
53,5,74,4.394502000
54,5,74,3.780317000
55,5,74,3.813730000
56,5,74,3.810912000
57,5,74,3.944199000
58,5,74,3.768779000
59,5,74,3.739364000
60,5,74,4.112046000
61,5,74,3.775594000
62,5,74,3.824450000
63,5,74,3.761671000
64,5,74,3.756403000
65,5,74,3.943827000
66,5,74,3.736634000
67,5,74,3.743333000
68,5,74,3.873387000
69,5,74,3.763835000
70,5,74,3.710516000
71,5,74,3.745590000
72,5,74,3.926461000
73,5,74,3.785340000
74,5,74,3.813907000
75,5,74,3.758763000
76,5,74,3.970849000
77,5,74,3.847760000
78,5,74,3.795495000
79,5,74,3.791566000
80,5,74,3.741709000
81,5,74,3.753978000
82,5,74,3.887615000
83,5,74,3.843842000
84,5,74,4.051018000
85,5,74,4.147836000
86,5,74,3.759375000
87,5,74,3.746371000
88,5,74,3.738817000
89,5,74,3.685823000
90,5,74,3.877506000
91,5,74,3.909360000
92,5,74,3.719648000
93,5,74,3.829883000
94,5,74,3.856445000
95,5,74,3.674576000
96,5,74,3.726660000
97,5,74,3.752807000
98,5,74,3.885180000
99,5,74,3.779950000
100,5,74,3.799162000
101,5,74,3.690530000
102,5,74,4.160054000
103,5,74,3.926941000
104,5,74,3.812039000
105,5,74,3.704476000
106,5,74,4.117722000
107,5,74,3.892706000
108,5,74,3.725197000
109,5,74,3.921279000
110,5,74,3.858564000
111,5,74,3.811703000
