Run,Points,InputLen,HashRate,StatusLines,Mask
1,3,44,11018685,13,?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d
2,3,44,11193300,13,?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d
3,3,44,11193692,13,?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d
