Run,Points,InputLen_bytes,Time_ms
1,2,29,3.603405000
2,2,29,3.652272000
3,2,29,3.670301000
4,2,29,3.568798000
5,2,29,3.723886000
6,2,29,3.791905000
7,2,29,3.760051000
8,2,29,3.726918000
9,2,29,3.683954000
10,2,29,3.722162000
11,2,29,3.628449000
12,2,29,3.677729000
13,2,29,3.773063000
14,2,29,4.004777000
15,2,29,3.667511000
16,2,29,3.738739000
17,2,29,3.697701000
18,2,29,3.650486000
19,2,29,3.581249000
20,2,29,3.656499000
21,2,29,3.720882000
22,2,29,3.725488000
23,2,29,3.657267000
24,2,29,3.613618000
25,2,29,3.606852000
26,2,29,3.750791000
27,2,29,3.576592000
28,2,29,3.592765000
29,2,29,3.693383000
30,2,29,3.921151000
31,2,29,3.716190000
32,2,29,3.584022000
33,2,29,3.577994000
34,2,29,3.740681000
35,2,29,3.822087000
36,2,29,3.710338000
37,2,29,3.707284000
38,2,29,3.872325000
39,2,29,3.844433000
40,2,29,3.561860000
41,2,29,3.633027000
42,2,29,3.684753000
43,2,29,3.560408000
44,2,29,3.681077000
45,2,29,3.718822000
46,2,29,4.049883000
47,2,29,3.742719000
48,2,29,3.606533000
49,2,29,3.756196000
50,2,29,3.671567000
51,2,29,3.604329000
52,2,29,3.571029000
53,2,29,3.673225000
54,2,29,3.723169000
55,2,29,4.035339000
56,2,29,4.340920000
57,2,29,3.741558000
58,2,29,3.769059000
59,2,29,3.598594000
60,2,29,3.692783000
61,2,29,3.730236000
62,2,29,3.859204000
63,2,29,3.908922000
64,2,29,3.742491000
65,2,29,3.656988000
66,2,29,3.700189000
67,2,29,3.743393000
68,2,29,3.643802000
69,2,29,3.662155000
70,2,29,3.909560000
71,2,29,3.884242000
72,2,29,3.623883000
73,2,29,3.674990000
74,2,29,3.603139000
75,2,29,3.601258000
76,2,29,3.717619000
77,2,29,3.584757000
78,2,29,3.840516000
79,2,29,3.930497000
80,2,29,3.601954000
81,2,29,3.625576000
82,2,29,3.603963000
83,2,29,3.597812000
84,2,29,3.598577000
85,2,29,3.579613000
86,2,29,3.856462000
87,2,29,3.790925000
88,2,29,3.606446000
89,2,29,3.630244000
90,2,29,3.698456000
91,2,29,3.738329000
92,2,29,3.631542000
93,2,29,3.682688000
94,2,29,3.864618000
95,2,29,3.852929000
96,2,29,3.703838000
97,2,29,3.587371000
98,2,29,3.681231000
99,2,29,3.614382000
100,2,29,3.628148000
101,2,29,3.662306000
102,2,29,3.855000000
103,2,29,3.818758000
104,2,29,3.654601000
105,2,29,3.601170000
106,2,29,3.580019000
107,2,29,3.720606000
108,2,29,3.708600000
109,2,29,3.669054000
110,2,29,3.601670000
