Run,Points,InputLen,HashRate,StatusLines,Mask
1,2,29,12447492,13,?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d
2,2,29,12189154,13,?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d
3,2,29,12226692,13,?d?d?d?d?d?d?d?d?d?d?d?d?d?d.?d?d?d?d?d?d?d?d?d?d?d?d?d?d
