m_exp,mem_kib,mem_mib,run_idx,ms
21,2097152,2048,46,5123.928144
21,2097152,2048,47,5191.235523
21,2097152,2048,48,5139.355898
21,2097152,2048,49,5124.606627
21,2097152,2048,50,5165.167862
21,2097152,2048,51,5181.345125
21,2097152,2048,52,5737.915676
21,2097152,2048,53,5159.830068
21,2097152,2048,54,5130.245044
21,2097152,2048,55,5231.898519
21,2097152,2048,56,5240.820371
21,2097152,2048,57,5167.990854
21,2097152,2048,58,5108.831553
21,2097152,2048,59,5150.439328
21,2097152,2048,60,5204.374913
22,4194304,4096,1,10484.946050
22,4194304,4096,2,10518.538186
22,4194304,4096,3,11731.738735
22,4194304,4096,4,10551.648693
22,4194304,4096,5,10550.608828
22,4194304,4096,6,10518.482948
22,4194304,4096,7,10471.806092
22,4194304,4096,8,10500.980869
22,4194304,4096,9,10464.694347
22,4194304,4096,10,10476.828043
22,4194304,4096,11,10581.306495
22,4194304,4096,12,10564.608764
22,4194304,4096,13,10443.639217
22,4194304,4096,14,10533.716116
22,4194304,4096,15,10531.226151
22,4194304,4096,16,11000.337654
22,4194304,4096,17,10545.926182
22,4194304,4096,18,10560.435514
22,4194304,4096,19,10536.662419
22,4194304,4096,20,10451.392913
22,4194304,4096,21,11441.020860
22,4194304,4096,22,10455.750473
22,4194304,4096,23,10432.876346
22,4194304,4096,24,10591.118681
22,4194304,4096,25,10643.977311
22,4194304,4096,26,10533.519954
22,4194304,4096,27,10640.692531
22,4194304,4096,28,11497.287391
22,4194304,4096,29,10647.365052
22,4194304,4096,30,10455.108579
22,4194304,4096,31,11279.225158
22,4194304,4096,32,10685.002406
22,4194304,4096,33,10504.870917
22,4194304,4096,34,10564.174114
22,4194304,4096,35,10547.263166
22,4194304,4096,36,11325.114418
22,4194304,4096,37,10545.170004
22,4194304,4096,38,10577.192515
22,4194304,4096,39,10577.279190
22,4194304,4096,40,10595.096756
22,4194304,4096,41,10434.602393
22,4194304,4096,42,10482.231779
22,4194304,4096,43,10622.962053
22,4194304,4096,44,10436.299364
22,4194304,4096,45,10608.461533
22,4194304,4096,46,11677.059882
22,4194304,4096,47,10622.089424
22,4194304,4096,48,10572.219905
22,4194304,4096,49,10457.309578
22,4194304,4096,50,10454.996527
22,4194304,4096,51,10585.976260
22,4194304,4096,52,10594.669926
22,4194304,4096,53,10507.872301
22,4194304,4096,54,11371.874655
22,4194304,4096,55,10770.133818
22,4194304,4096,56,10750.202478
22,4194304,4096,57,10790.458621
22,4194304,4096,58,11132.397000
22,4194304,4096,59,10790.800830
22,4194304,4096,60,10666.269217
23,8388608,8192,1,22813.220340
23,8388608,8192,2,23547.622123
23,8388608,8192,3,22651.815732
23,8388608,8192,4,22886.701183
23,8388608,8192,5,23267.395206
23,8388608,8192,6,22622.578671
23,8388608,8192,7,24177.940528
