m_exp,mem_kib,mem_mib,run_idx,ms
20,1048576,1024,1,2578.397410
20,1048576,1024,2,2532.399020
20,1048576,1024,3,2825.288778
20,1048576,1024,4,2542.237189
20,1048576,1024,5,2542.792840
20,1048576,1024,6,2526.288072
20,1048576,1024,7,2574.080627
20,1048576,1024,8,2526.654977
20,1048576,1024,9,2551.935415
20,1048576,1024,10,2555.719872
20,1048576,1024,11,2537.310749
20,1048576,1024,12,2550.412772
20,1048576,1024,13,2548.916417
20,1048576,1024,14,2545.743092
20,1048576,1024,15,2522.482682
20,1048576,1024,16,2527.148446
20,1048576,1024,17,2545.562854
20,1048576,1024,18,2549.852537
20,1048576,1024,19,2533.456906
20,1048576,1024,20,2550.957549
20,1048576,1024,21,2827.213274
20,1048576,1024,22,2564.319417
20,1048576,1024,23,2572.464606
20,1048576,1024,24,2564.272584
20,1048576,1024,25,2538.801810
20,1048576,1024,26,2540.777798
20,1048576,1024,27,2585.787577
20,1048576,1024,28,2540.070959
20,1048576,1024,29,2538.484791
20,1048576,1024,30,2538.137169
20,1048576,1024,31,2523.667017
20,1048576,1024,32,2539.629732
20,1048576,1024,33,2543.724123
20,1048576,1024,34,2545.188555
20,1048576,1024,35,2697.783988
20,1048576,1024,36,2538.887656
20,1048576,1024,37,2565.770759
20,1048576,1024,38,2540.344904
20,1048576,1024,39,2551.359435
20,1048576,1024,40,2552.887783
20,1048576,1024,41,2552.527848
20,1048576,1024,42,2852.746208
20,1048576,1024,43,2560.837537
20,1048576,1024,44,2523.980301
20,1048576,1024,45,2561.076366
20,1048576,1024,46,2526.209458
20,1048576,1024,47,2536.262712
20,1048576,1024,48,2555.837492
20,1048576,1024,49,2532.572503
20,1048576,1024,50,2564.577801
20,1048576,1024,51,2551.628355
20,1048576,1024,52,2559.248738
20,1048576,1024,53,2528.871831
20,1048576,1024,54,2545.559661
20,1048576,1024,55,2547.705804
20,1048576,1024,56,2508.789373
20,1048576,1024,57,2526.469916
20,1048576,1024,58,2531.321846
20,1048576,1024,59,2885.105293
20,1048576,1024,60,2544.136336
21,2097152,2048,1,5806.493332
21,2097152,2048,2,5130.544807
21,2097152,2048,3,5173.504696
21,2097152,2048,4,5197.377292
21,2097152,2048,5,5128.691802
21,2097152,2048,6,5225.850517
21,2097152,2048,7,5210.652540
21,2097152,2048,8,5719.801230
21,2097152,2048,9,5652.723944
21,2097152,2048,10,5708.828995
21,2097152,2048,11,5117.839441
21,2097152,2048,12,5194.756857
21,2097152,2048,13,5194.202439
21,2097152,2048,14,5715.736689
21,2097152,2048,15,5158.541514
21,2097152,2048,16,5149.867909
21,2097152,2048,17,5170.960271
21,2097152,2048,18,5177.687399
21,2097152,2048,19,5182.463544
21,2097152,2048,20,5139.982830
21,2097152,2048,21,5127.210835
21,2097152,2048,22,5172.608546
21,2097152,2048,23,5363.832061
21,2097152,2048,24,5174.735155
21,2097152,2048,25,5683.697423
21,2097152,2048,26,5211.753909
21,2097152,2048,27,5227.730398
21,2097152,2048,28,5180.063376
21,2097152,2048,29,5144.594923
21,2097152,2048,30,5144.068068
21,2097152,2048,31,5135.611644
21,2097152,2048,32,5135.747611
21,2097152,2048,33,5163.883174
21,2097152,2048,34,5155.482794
21,2097152,2048,35,5145.934729
21,2097152,2048,36,5155.702864
21,2097152,2048,37,5202.531093
21,2097152,2048,38,5144.518574
21,2097152,2048,39,5199.218006
21,2097152,2048,40,5250.203104
21,2097152,2048,41,5186.611059
21,2097152,2048,42,5188.904627
21,2097152,2048,43,5115.563000
21,2097152,2048,44,5138.563343
21,2097152,2048,45,5181.387203
