Run,Time_ms
1,4.331156000
2,3.825936000
3,3.968209000
4,3.836792000
5,3.791241000
6,3.843918000
7,3.737424000
8,3.566944000
9,3.557918000
10,3.723359000
11,3.675204000
12,3.634882000
13,3.612688000
14,3.528139000
15,3.664948000
16,3.514717000
17,3.671750000
18,3.689265000
19,3.621085000
20,3.613722000
21,3.680442000
22,3.676678000
23,3.621932000
24,3.660695000
25,3.643360000
26,3.539578000
27,3.615085000
28,3.572953000
29,3.563945000
30,3.580797000
31,3.675788000
32,3.582882000
33,3.542349000
34,3.578287000
35,3.525743000
36,3.499492000
37,3.574924000
38,3.516410000
39,3.524902000
40,3.540458000
41,3.623886000
42,3.573552000
43,3.520913000
44,3.577085000
45,3.665782000
46,3.690641000
47,3.634783000
48,3.503743000
49,3.501943000
50,3.562286000
51,3.630092000
52,3.604265000
53,3.511343000
54,3.557781000
55,3.560152000
56,3.622931000
57,3.612977000
58,3.534644000
59,3.721225000
60,3.530051000
61,3.549178000
62,3.641784000
63,3.567478000
64,3.655076000
65,3.577064000
66,3.497305000
67,3.575869000
68,3.565349000
69,3.493299000
70,3.572654000
71,3.708434000
72,3.658062000
73,3.652461000
74,3.551914000
75,3.570933000
76,3.556571000
77,3.716490000
78,3.620509000
79,3.571769000
80,3.539336000
81,3.533751000
82,3.565321000
83,3.599169000
84,3.537912000
85,3.542175000
86,3.497500000
87,3.489428000
88,3.587301000
89,3.492630000
90,3.603963000
91,3.596374000
92,3.539965000
93,3.497216000
94,3.641593000
95,3.511881000
96,3.531236000
97,3.525718000
98,3.566512000
99,3.602557000
100,3.537508000
101,3.620075000
102,3.479288000
103,3.624045000
104,3.530332000
105,3.506178000
106,3.626024000
107,4.317188000
108,4.137395000
109,3.631264000
110,3.608574000
111,3.557214000
112,3.561495000
113,3.649658000
114,3.681175000
115,3.655701000
116,3.626890000
117,3.523104000
118,3.573185000
119,3.677158000
120,3.567910000
121,3.536555000
122,3.629351000
123,3.551245000
124,3.543675000
125,3.604563000
126,3.658929000
