Timestamp,Run,DeviceFilter,Workload,SpeedLine,SpeedNum,SpeedUnit
2026-01-12T10:43:38+01:00,38,,3,"Speed.#1.........:  1322.8 kH/s (56.33ms) @ Accel:32 Loops:124 Thr:256 Vec:1",1322.8,kH/s
2026-01-12T10:43:42+01:00,39,,3,"Speed.#1.........:  1321.8 kH/s (56.32ms) @ Accel:32 Loops:124 Thr:256 Vec:1",1321.8,kH/s
2026-01-12T10:43:47+01:00,40,,3,"Speed.#1.........:  1315.5 kH/s (56.61ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1315.5,kH/s
2026-01-12T10:43:51+01:00,41,,3,"Speed.#1.........:  1314.7 kH/s (56.63ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1314.7,kH/s
2026-01-12T10:43:55+01:00,42,,3,"Speed.#1.........:  1317.0 kH/s (56.57ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1317.0,kH/s
2026-01-12T10:43:59+01:00,43,,3,"Speed.#1.........:  1315.0 kH/s (56.66ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1315.0,kH/s
2026-01-12T10:44:04+01:00,44,,3,"Speed.#1.........:  1316.0 kH/s (56.59ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1316.0,kH/s
2026-01-12T10:44:08+01:00,45,,3,"Speed.#1.........:  1315.7 kH/s (56.62ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1315.7,kH/s
2026-01-12T10:44:12+01:00,46,,3,"Speed.#1.........:  1308.9 kH/s (56.94ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1308.9,kH/s
2026-01-12T10:44:16+01:00,47,,3,"Speed.#1.........:  1314.5 kH/s (56.68ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1314.5,kH/s
2026-01-12T10:44:21+01:00,48,,3,"Speed.#1.........:  1315.2 kH/s (56.69ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1315.2,kH/s
2026-01-12T10:44:25+01:00,49,,3,"Speed.#1.........:  1314.0 kH/s (56.71ms) @ Accel:16 Loops:124 Thr:512 Vec:1",1314.0,kH/s
